04 ib	ADD AL,imm8	Add imm8 to AL
EA cp	JMP ptr16:32	Jump far, absolute, address given in operand
88 /r	MOV r/m8,r8	Move r8 to r/m8
89 /r	MOV r/m16,r16	Move r16 to r/m16
89 /r	MOV r/m32,r32	Move r32 to r/m32
8A /r	MOV r8,r/m8	Move r/m8 to r8
8B /r	MOV r16,r/m16	Move r/m16 to r16
8B /r	MOV r32,r/m32	Move r/m32 to r32
8C /r	MOV r/m16,Sreg	Move segment register to r/m16
8E /r	MOV Sreg,r/m16	Move r/m16 to segment register
B0+ rb	MOV r8,imm8	Move imm8 to r8
B8+ rw	MOV r16,imm16	Move imm16 to r16
B8+ rd	MOV r32,imm32	Move imm32 to r32
C6 /0	MOV r/m8,imm8	Move imm8 to r/m8
C7 /0	MOV r/m16,imm16	Move imm16 to r/m16
C7 /0	MOV r/m32,imm32	Move imm32 to r/m32
0F 6F /r	MOVQ mm, mm/m64	Move quadword from mm/m64 to mm.
0F 7F /r	MOVQ mm/m64, mm	Move quadword from mm to mm/m64.
A4	MOVS m8,m8	Move byte at address DS:[(E)SI] to address ES:[(E)DI]
A5	MOVS m16,m16	Move word at address DS:[(E)SI] to address ES:[(E)DI]
A5	MOVS m32,m32	Move doubleword at address DS:[(E)SI] to address ES:[(E)DI]
F6 /2	NOT r/m8	Reverse each bit of r/m8
F7 /2	NOT r/m16	Reverse each bit of r/m16
F7 /2	NOT r/m32	Reverse each bit of r/m32
0C ib	OR AL,imm8	AL OR imm8
0D iw	OR AX,imm16	AX OR imm16
0D id	OR EAX,imm32	EAX OR imm32
80 /1 ib	OR r/m8,imm8	r/m8 OR imm8
81 /1 iw	OR r/m16,imm16	r/m16 OR imm16
81 /1 id	OR r/m32,imm32	r/m32 OR imm32
83 /1 ib	OR r/m16,imm8	r/m16 OR imm8 (sign-extended)
83 /1 ib	OR r/m32,imm8	r/m32 OR imm8 (sign-extended)
08 /r	OR r/m8,r8	r/m8 OR r8
09 /r	OR r/m16,r16	r/m16 OR r16
09 /r	OR r/m32,r32	r/m32 OR r32
0A /r	OR r8,r/m8	r8 OR r/m8
0B /r	OR r16,r/m16	r16 OR r/m16
0B /r	OR r32,r/m32	r32 OR r/m32
0F FD /r	PADDW mm, mm/m64	Add packed word integers from mm/m64 and mm.
0F FE /r	PADDD mm, mm/m64	Add packed doubleword integers from mm/m64 and mm.
0F 63/r	PACKSSWB mm1, mm/m64	Converts 4 packed signed word integers from mm1 and mm2/m64 into 8 packed signed byte integers in mm1 using signed saturation
0F 6B/r	PACKSSDW mm1, mm/m64	Converts 2 packed signed double word integers from mm1 and mm2/m64 into 4 packed signed word integers in mm1 using signed saturation
0F 68/r	PUNPCKHBW mm1, mm/m64	unpack and interleave high-order bytes from mm and mm/mm64 into mm
0F 69/r	PUNPCKHWD mm1, mm/m64	unpack and interleave high-order words from mm and mm/mm64 into mm
8F /0	POP r/m16	Pop top of stack into m16; increment stack pointer
8F /0	POP r/m32	Pop top of stack into m32; increment stack pointer
58+ rw	POP r16	Pop top of stack into r16; increment stack pointer
58+ rd	POP r32	Pop top of stack into r32; increment stack pointer
1F	POP DS	Pop top of stack into DS; increment stack pointer
07	POP ES	Pop top of stack into ES; increment stack pointer
17	POP SS	Pop top of stack into SS; increment stack pointer
0F A1	POP FS	Pop top of stack into FS; increment stack pointer
0F A9	POP GS	Pop top of stack into GS; increment stack pointer
FF /6	PUSH r/m16	Push r/m16
FF /6	PUSH r/m32	Push r/m32
50+rw	PUSH r16	Push r16
50+rd	PUSH r32	Push r32
6A	PUSH imm8	Push imm8
68	PUSH imm16	Push imm16
68	PUSH imm32	Push imm32
0E	PUSH CS	Push CS
16	PUSH SS	Push SS
1E	PUSH DS	Push DS
06	PUSH ES	Push ES
0F A0	PUSH FS	Push FS
0F A8	PUSH GS	Push GS
F3 A4	REP MOVS m8,m8	Move (E)CX bytes from DS:[(E)SI] to ES:[(E)DI]
F3 A5	REP MOVS m16,m16	Move (E)CX words from DS:[(E)SI] to ES:[(E)DI]
F3 A5	REP MOVS m32,m32	Move (E)CX double words from DS:[(E)SI] to ES:[(E)DI]
C3	RET	Near return to calling procedure
CB	RET	Far return to calling procedure
C2 iw	RET imm16	Near return to calling procedure and pop imm16 bytes from stack
CA iw	RET imm16	Far return to calling procedure and pop imm16 bytes from stack
D0 /4	SAL r/m8,1	Multiply r/m8 by 2, once
D2 /4	SAL r/m8,CL	Multiply r/m8 by 2, CL times
C0 /4 ib	SAL r/m8,imm8	Multiply r/m8 by 2, imm8 times
D1 /4	SAL r/m16,1	Multiply r/m16 by 2, once
D3 /4	SAL r/m16,CL	Multiply r/m16 by 2, CL times
C1 /4 ib	SAL r/m16,imm8	Multiply r/m16 by 2, imm8 times
D1 /4	SAL r/m32,1	Multiply r/m32 by 2, once
D3 /4	SAL r/m32,CL	Multiply r/m32 by 2, CL times
C1 /4 ib	SAL r/m32,imm8	Multiply r/m32 by 2, imm8 times
D0 /7	SAR r/m8,1	Signed divide r/m8 by 2, once
D2 /7	SAR r/m8,CL	Signed divide r/m8 by 2, CL times
C0 /7 ib	SAR r/m8,imm8	Signed divide r/m8 by 2, imm8 times
D1 /7	SAR r/m16,1	Signed divide r/m16 by 2, once
D3 /7	SAR r/m16,CL	Signed divide r/m16 by 2, CL times
C1 /7 ib	SAR r/m16,imm8	Signed divide r/m16 by 2, imm8 times
D1 /7	SAR r/m32,1	Signed divide r/m32 by 2, once
D3 /7	SAR r/m32,CL	Signed divide r/m32 by 2, CL times
C1 /7 ib	SAR r/m32,imm8	Signed divide r/m32 by 2, imm8 times
FD	STD	Set DF flag
90+rw	XCHG AX,r16	Exchange r16 with AX
90+rd	XCHG EAX,r32	Exchange r32 with EAX
86 /r	XCHG r/m8,r8	Exchange r8 with r/m8
87 /r	XCHG r/m16,r16	Exchange r16 with r/m16
87 /r	XCHG r/m32,r32	Exchange r32 with r/m32
